person,person_url,universities_category,alma_mater,awards,birth_date,birth_name,birth_place,caption,children,death_date,death_place,doctoral_advisor,doctoral_students,education,field,fields,image,image_size,imagesize,known_for,name,nationality,occupation,office,office1,office2,party,predecessor,predecessor1,predecessor2,predecessor3,president,prizes,religion,residence,signature,spouse,successor,successor1,successor2,successor3,term_end,term_end1,term_end2,term_end3,term_start,term_start1,term_start2,term_start3,work_institution,work_institutions,workplaces
Diệp Tuấn Vinh,https://vi.wikipedia.org/wiki/Di%E1%BB%87p_Tu%E1%BA%A5n_Vinh,Đại học Yale,Đại học Yale; Đại học quốc lập Đài Loan,,,,Vạn Hoa; Đài Bắc,,,,,,,,,,JiunnRong.png,,,,Diệp Tuấn Vinh,Đài Loan,,,Bộ trưởng Bộ Giáo dục Đài Loan,Bộ trưởng Bộ Nội chính Đài Loan,,,Diêu Lập Đức (quyền); Ngô Mậu Côn,Trần Nguy Nhân,Lâm Gia Thành,,,,,,,,,Từ Quốc Dũng,Thi Năng Kiệt,,nay,15 tháng 7 năm 2018,Tháng 4 năm 2006,,16 tháng 7 năm 2018,20 tháng 5 năm 2016,Tháng 6 năm 2004,,,
Donald J. Cram,https://vi.wikipedia.org/wiki/Donald_J._Cram,Đại học Harvard,Rollins College,,22.4.1919,,Chester; Vermont,,,17.6.2001 (82 tuổi),California<ref name=NobelCramBio> </ref>; Palm Desert,Louis Fieser,,,Hóa học,,,,,Hóa học chủ khách; cyclophane; ion phenonium; quy luật Cram (cảm ứng không đối xứng),Donald James Cram,Hoa Kỳ,,,,,,,,,,,Giải Nobel Hóa học 1987; Giải thưởng Nhà nước về Khoa học; Hoa Kỳ 1993,,,,,,,,,,,,,,,,,,Học viện Công nghệ Massachusetts; Merck & Co; Đại học California tại Los Angeles,
Donella Meadows,https://vi.wikipedia.org/wiki/Donella_Meadows,Đại học Harvard,1963; 1968; Harvard University Ph.D; Đại học Carleton B.A,,,,Elgin; Illinois,,,,Hanover; New Hampshire,,,,Environmental science; Systems science,,File:Cover first edition Limits to growth.jpg,200px,,''12 điểm đòn bẩy''; ''Giới hạn của tăng trưởng''; ''Tư duy trong hệ thống: Dẫn nhập'',Donella Meadows,Hoa Kỳ,,,,,,,,,,,MacArthur Fellowship (1994); Walter C. Paine Science Education Award (1990),,New Hampshire; Plainfield,,,,,,,,,,,,,,,,,MIT; Đại học Dartmouth
Dudley R. Herschbach,https://vi.wikipedia.org/wiki/Dudley_R._Herschbach,Đại học Harvard; Đại học Stanford,Đại học Harvard; Đại học Stanford,,,,California; Hoa Kỳ; San Jose,Dudley Robert Herschbach,,,,Edgar Bright Wilson,Anita Goel; Richard N. Zare,,Hóa học,,Herschbach.JPG,220px,,Động lực học phân tử,Dudley R. Herschbach,Mỹ,,,,,,,,,,,Giải Irving Langmuir (1983); Giải Nobel Hóa học (1986); Huy chương Linus Pauling (1978); Huy chương Michael Polanyi (1981),,,,,,,,,,,,,,,,,,Texas A&M University; Đại học California tại Berkeley; Đại học Freiburg; Đại học Harvard,
E. E. Cummings,https://vi.wikipedia.org/wiki/E._E._Cummings,Đại học Harvard,,,14 tháng 10 năm 1894,,Cambridge; Massachusetts; Mỹ,,,3 tháng 9 năm 1962,Mỹ; New Hampshire; North Conway,,,,,,E. E. Cummings NYWTS.jpg,,175px,,E. E. Cummings,người Mỹ,Nhà thơ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. L. Doctorow,https://vi.wikipedia.org/wiki/E._L._Doctorow,Đại học Columbia,Kenyon College; Đại học Columbia,,,Edgar Lawrence Doctorow,Hoa Kỳ; New York; The Bronx,E.L. Doctorow (2014),,,Hoa Kỳ; New York,,,,,,E l doctorow 2751.JPG,180px,,,,American,Nhà văn; editor; giáo sư,,,,,,,,,,,,New York City,,Helen Esther Setzer (1953-2015; qua đời),,,,,,,,,,,,,,,
E. O. Wilson,https://vi.wikipedia.org/wiki/E._O._Wilson,Đại học Harvard,Đại học Alabama; Đại học Harvard,*  }}; * Giải Cosmos Quốc tế; * Giải Crafoord; * Giải Các ranh giới Kiến thức Sáng lập BBVA trong Sinh thái học; * Giải Kistler; * Giải Newcomb Cleveland; * Giải Nierenberg; * Giải Pulitzer; * Giải Sinh học Quốc tế; * Giải Tyler cho thành tựu môi trường; * Leidy Award; * Pulitzer Prize; Bảo Sinh học Bảo tồn; {{plainlist|; }},,Edward Osborne Wilson,Alabama; Birmingham; Hoa Kỳ,Wilson tháng 2 năm 2003,,<ref> </ref>,,Frank M. Carpenter,Adrian B. Forsyth; Alastair M. Stuart; Aniruddh D. Patel; Barbara L. Thorne; Corrie Moreau<!--Stuart A. Altmann; Dan Louis Perlman; Daniel S. Simberloff; Daniel Simberloff; David R. Maddison; Donald J. Farish; Gabña Chavarna-Villasenor; Herbert E. Nipson; James D. Weinrich; John E. Tobin; Leeanne E. Tennant; Margaret K. Thayer; Mark W. Moffett; Nancy K. Lind; Norman E. Woodley; Robert A. Metcalf; Robert E. Silberglied; Robert L. Jeanne; Robert W. Taylor; Roger B. Swain; Scott E. Miller; William B. Kerfoot; William H. Bossert; William Piel-->,,,Sinh học,2003 (cropped).jpg; Edward O. Wilson,,,Dịch chuyển tính cánh; Thiên sử Tiến hóa; Xã hội học phổ cập; Địa sinh học đảo,E. O. Wilson,Hoa Kỳ,,,,,,,,,,,,,,<!--(filename only)-->,,,,,,,,,,,,,,,,Đại học Duke; Đại học Harvard
Edmund Heller,https://vi.wikipedia.org/wiki/Edmund_Heller,Đại học Stanford,Đại học Stanford,,,,Freeport; Illinois,,,,California; San Francisco,,,,,,Edmund Heller 1916.jpg,,,các cuộc thám hiểm châu Phi; Động vật học,Edmund Heller,,,,,,,,,,,,,,,<!--(filename only)-->,,,,,,,,,,,,,,,,
Edmund Phelps,https://vi.wikipedia.org/wiki/Edmund_Phelps,Đại học Yale,Amherst College; Đại học Yale,,,,Evanston; Hoa Kỳ; Illinois,Edmund Phelps,,,,,Mordecai Kurz; Roman Frydman,,Kinh tế,,Edmund Phelps 2008-01-23.jpg,200px,,Golden Rule savings rate; Natural rate of unemployment,Edmund Phelps,20px Người Mỹ,,,,,,,,,,,Giải Nobel Kinh tế (năm 2006),,20px Hoa Kỳ,,,,,,,,,,,,,,,Cowles Foundation 1960-66; Đại học Columbia 1971; Đại học Pennsylvania 1966-71,,
Eduardo Saverin,https://vi.wikipedia.org/wiki/Eduardo_Saverin,Đại học Harvard,,,,Eduardo Saverin,Brazil; Sao Paulo,,,,,,,,,,Eduardo Saverin CHINICT.JPG,,,Đồng sáng lập Facebook,,,*Doanh nhân}}; {{flat list|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edward Adelbert Doisy,https://vi.wikipedia.org/wiki/Edward_Adelbert_Doisy,Đại học Harvard,,,,,Hoa Kỳ; Hume; Illinois,,,,Hoa Kỳ; Missouri; St. Louis,Otto Folin,,,Hóa sinh,,,180px,,Vitamin K,Edward A. Doisy,Mỹ,,,,,,,,,,,Y khoa (1943); giải Nobel Sinh lý,,,,,,,,,,,,,,,,,,,
Edward B. Lewis,https://vi.wikipedia.org/wiki/Edward_B._Lewis,Đại học Minnesota,Học viện Công nghệ California,,,,Hoa Kỳ; Pennsylvania; Wilkes-Barr,Edward B. Lewis,,,,Alfred Sturtevant,,,Di truyền học,,,,,Nghiên cứu di truyền của ruồi giấm (''Drosophila melanogaster''),Edward B. Lewis,Mỹ,,,,,,,,,,,Giải Nobel Y học 1995,,,,,,,,,,,,,,,,,,,
Edward Calvin Kendall,https://vi.wikipedia.org/wiki/Edward_Calvin_Kendall,Đại học Columbia,Đại học Columbia,Y khoa (1950); giải Nobel Sinh lý; giải Passano (1950); giải nghiên cứu Y học lâm sàng Lasker-DeBakey (1949),,,Connecticut; Hoa Kỳ; South Norwalk,Kendall năm 1950,,Hoa Kỳ; New Jersey; Princeton,,,,,,Hóa sinh,,180px,,cách ly thyroxine; khám phá cortisone,Edward Calvin Kendall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mayo Clinic; Parke-Davis; St. Luke's Hospital; Đại học Princeton
Edward Chamberlin,https://vi.wikipedia.org/wiki/Edward_Chamberlin,Đại học Harvard; Đại học Michigan,Đại học Harvard; Đại học Iowa; Đại học Michigan,,,,La Conner; Washington,Edward Chamberlin,,,Cambridge; Massachusetts,Allyn Abbott Trẻ,,,Kinh tế vi mô,,Edward_chamberlin.jpg,250px,,,Edward H. Chamberlin,Hoa Kỳ,,,,,,,,,,,,,,<!-- file name only -->,,,,,,,,,,,,,,,,
Edward Dickinson,https://vi.wikipedia.org/wiki/Edward_Dickinson,Đại học Yale,,,,,Amherst; Hoa Kỳ; Massachusetts,,Emily Dickinson; Lavinia Norcross Dickinson; William Austin Dickinson,,Boston; Hoa Kỳ; Massachusetts,,,,,,Edward Dickinson.jpg,,,,Edward Dickinson,,Lawyer; Politician,Thành viên của Hạ viện Hoa Kỳ từ huyện lần thứ 10 của tiểu bang Massachusetts,,,Whig,Zeno Scudder,,,,,,,,,Emily Norcross Dickinson,Calvin C. Chaffee,,,,3 tháng 3 năm 1855,,,,4 tháng 3 năm 1853,,,,,,
Edward Kasner,https://vi.wikipedia.org/wiki/Edward_Kasner,Đại học Columbia,}},,,,New York City; United States,Kasner năm 1907,,}},New York City; United States,David Hilbert; Felix Klein,Edna Kramer; Jesse Douglas; Joseph Ritt; Rufus Isaacs,,,Nhà toán học,PSM V70 D187 Edward Kasner.jpg,782 × 977 pixels,,"""googol""; Kasner metric; Kasner polygon",Edward Kasner,Người Mỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia University
Edward MacDowell,https://vi.wikipedia.org/wiki/Edward_MacDowell,Đại học Columbia,* Nhạc viện Frankfurt; * Nhạc viện Paris,,18 tháng 12 năm 1860<ref>Until 1975; it was generally accepted that MacDowell's year of birth was 1861. A scholarly article in ''The Musical Quarterly'' [http://links.jstor.org/sici?sici=0027-4631(197504)61%3A2%3C233%3AEMBAC%3E2.0.CO%3B2-P] corrected this error.</ref>,,Hoa Kỳ; New York,,,,Hoa Kỳ; New York,,,,* Nghệ sĩ piano; * Nhà soạn nhạc; * Nhà sư phạm,,Macdowell.png,220px,,,Edward MacDowell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,* Nhạc viện Darmstadt; * Đại học Tổng hơp Columbia,
Edward Mills Purcell,https://vi.wikipedia.org/wiki/Edward_Mills_Purcell,Đại học Harvard,* Đại học Harvard; * Đại học Purdue,,30 tháng 8 năm 1912,,Hoa Kỳ; Illinois; Taylorville,,,,Cambridge; Hoa Kỳ; Massachusetts,* John Van Vleck; * Kenneth Bainbridge,* Charles Pence Slichter; * George Benedek; * George Pake; * Nicolaas Bloembergen,,Vật lý,,Edward_Mills_Purcell.jpg,220px,,* Cộng hưởng từ hạt nhân; * Dòng hydro 21 cm; * Hiệu ứng Smith-Purcell,Edward Purcell,,,,,,,,,,,,* Giải Nobel Vật lý năm 195225px; * Huy chương Oersted năm 1967,,,,,,,,,,,,,,,,,,* Viện Công nghệ Massachusetts; * Đại học Harvard,
Edward Norton,https://vi.wikipedia.org/wiki/Edward_Norton,Đại học Yale,Yale University (BA),Full list,,Edward Harrison Norton,Boston; Hoa Kỳ; Massachusetts,Norton in 2009,,,,,,,,,Ed Norton Shankbone Metropolitan Opera 2009.jpg,,,,Edward Norton,,*Diễn viên; *nhà làm phim; {{flatlist|; }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edward Said,https://vi.wikipedia.org/wiki/Edward_Said,Đại học Harvard,,,,Edward Wadie Said,Jerusalem; Lãnh thổ Ủy trị Palestine,Said ở Seville; Tây Ban Nha vào năm 2002,bao gồm Najla,,Hoa Kỳ; Thành phố New York,,,* Đại học Harvard (MA; * Đại học Princeton (BA); PhD); {{plainlist|; }},,,2002 (Said).jpg; Edward Said and Daniel Barenboim in Sevilla,,,,Edward Said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ehud Barak,https://vi.wikipedia.org/wiki/Ehud_Barak,Đại học Stanford,Đại học Hebrew của Jerusalem; Đại học Stanford,Huân chương Anh dũng; Huân chương Anh dũng DoD; Huân chương Chiến công; Tzalash (4),12 tháng 2 năm 1942 (  tuổi),,Lãnh thổ Ủy trị Palestine; Mishmar HaSharon,Chân dung chính thức; năm 1999,,,,,,,,,Ehud Barak official portrait 1999.jpg,,220px,,Ehud Barak,,,Thủ tướng thứ 10 của Israel,,Bộ trưởng Quốc phòng,Đảng Lao động <small>(đến năm 2011)</small>; Đảng Độc lập <small>(từ năm 2011)</small>,Benjamin Netanyahu,,Amir Peretz,Moshe Arens,Ezer Weizman; Moshe Katsav,,,,Ehud Barak signature.svg,Nava Cohen (ly dị); Nili Priel,Ariel Sharon,,Moshe Ya'alon,Binyamin Ben-Eliezer,7 tháng 3 năm 2001,,18 tháng 3 năm 2013,7 tháng 3 năm 2001,6 tháng 7 năm 1999,,18 tháng 6 năm 2007,6 tháng 7 năm 1999,,,
Elbridge Gerry,https://vi.wikipedia.org/wiki/Elbridge_Gerry,Đại học Harvard,Harvard College,,,Elbridge Thomas Gerry,Marblehead; Massachusetts Bay,,10,,D.C; Washington,,,,,,Elbridge-gerry-painting.jpg,,220px,,Elbridge Gerry,,,30px; Phó Tổng thống thứ 5 của Hoa Kỳ,,,Cộng hòa-Dân chủ,George Clinton,,Christopher Gore,Inaugural Congress,James Madison,,"Kitô Anh<ref name=""Austin1829""> </ref>",,Elbridge Gerry Signature.svg,Ann Thompson Gerry,Daniel D. Tompkins,,Caleb Strong,Jr. (General ticket); Peleg Coffin; Shearjashub Bourne,23 tháng 11 năm 1814,,4 tháng 3 năm 1812,3 tháng 3 năm 1793,4 tháng 3 năm 1813,,10 tháng 6 năm 1810,4 tháng 3 năm 1789,,,
Elias James Corey,https://vi.wikipedia.org/wiki/Elias_James_Corey,Viện Công nghệ Massachusetts,Viện Công nghệ Massachusetts,,12 tháng 7 năm 1928,,Massachusetts; Methuen; Mỹ,,,,,John C. Sheehan,* Hisashi Yamamoto; * KC Nicolaou; * Ryoji Noyori; * William L. Jorgensen,,Hóa học hữu cơ,,E.J.Coreyx240.jpg,220px,,,Elias James Corey,,,,,,,,,,,,* Giải Nobel Hóa học năm 199025px; * Giải Rosenstiel năm 1981; * Giải Willard Gibbs năm 1984; * Giải Wolf về Hóa học năm 1986; * Giải thưởng Nhật Bản năm 1989; * Huy chương Franklin năm 1978; * Huy chương Priestley năm 2004; * Huân chương Khoa học Quốc gia năm 1988,,,,,,,,,,,,,,,,,,Đại học Harvard,
Eliza Myrie,https://vi.wikipedia.org/wiki/Eliza_Myrie,Đại học Northwestern,,,1981,,Mỹ; New York,,,,,,,,Thực hành xã hội,,Eliza_Myrie.jpg,,,,Eliza Myrie,Mỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellsworth Huntington,https://vi.wikipedia.org/wiki/Ellsworth_Huntington,Đại học Harvard; Đại học Yale,Đại học Harvard; Đại học Yale<ref> </ref>,,,,,,,,,,,,Khí hậu học; Sinh thái nhân văn; Địa lý,,Ellsworth Huntington.jpg,,,,Ellsworth Huntington,Mỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Yale,
Emmy Rossum,https://vi.wikipedia.org/wiki/Emmy_Rossum,Đại học Columbia,,,,,,Emmy Rossum ở lễ trao giải tinh thần độc lập năm 2010,,,,,,,,,Emmy Rossum cropped.jpg,,,,,,Diễn viên; ca sĩ; nhạc sĩ,,,,,,,,,,,,,,Justin Siegel (đã chia tay),,,,,,,,,,,,,,,
Ephraim Katzir,https://vi.wikipedia.org/wiki/Ephraim_Katzir,Đại học Columbia; Đại học Harvard,,,16 tháng 5 năm 1916,,Kiev; Đế quốc Nga,,,30 tháng 5 năm 2009 (93 tuổi),Israel; Rehovot,,,,,,EKatzir771.jpg,,,,Ephraim Katzir,,,Tổng thống thứ tư của Israel,,,Đảng Lao động,Zalman Shazar,,,,,,Do Thái giáo,,Ephraim Katzir signature - en.svg,Nina Gottlieb,Yitzhak Navon,,,,24 tháng 5 năm 1978,,,,24 tháng 5 năm 1973,,,,,,
Eric Allin Cornell,https://vi.wikipedia.org/wiki/Eric_Allin_Cornell,Viện Công nghệ Massachusetts; Đại học Stanford,Học viện Công nghệ Massachusetts (MIT); Đại học Stanford,,,,California; Hoa Kỳ; Palo Alto,Carl Wieman ở khu trường Đại học Colorado; Cornell (bên phải),,,,,,,Vật lý học,,Physics Nobel Laureate Eric Allin Cornell; in June of 2015.jpg,,,Ngưng tụ Bose-Einstein,Eric Allin Cornell,Mỹ,,,,,,,,,,,Giải Nobel Vật lý (2001); Huy chương Benjamin Franklin về Vật lý học (2000); Huy chương Lorentz (1998),,Boulder; Colorado; Hoa Kỳ,,,,,,,,,,,,,,,,Tiêu chuẩn Quốc gia (NIST); Viện Công nghệ; Đại học Colorado,
Eric Maskin,https://vi.wikipedia.org/wiki/Eric_Maskin,Đại học Harvard,Đại học Harvard,,12 tháng 12 năm 1950,,Thành phố New York,,,,,,,,Economics,,Eric Maskin 01.JPG,,,Lý thuyết trò chơi; lý thuyết thiết kế cơ chế,Eric Maskin,20px Mỹ,,,,,,,,,,,20px Giải Nobel Kinh tế (2007),,20px Hoa Kỳ,,,,,,,,,,,,,,,Viện nghiên cứu Cấp cao,,
Ernest Lawrence,https://vi.wikipedia.org/wiki/Ernest_Lawrence,Đại học Minnesota; Đại học Yale,* Đại học Minnesota (MA); * Đại học South Dakota (BA); * Đại học Yale (PhD); {{Plain list|; }},* Giải Enrico Fermi (1957); * Giải Nobel Vật lý (1939); * Giải Sylvanus Thayer (1958); * Giải Vật lý Comstock (1938); * Giải William Procter cho Thành tựu Khoa học (1951); * Huy chương; * Huy chương Elliott Cresson (1937); * Huy chương Faraday (1952); * Huy chương Holley (1942); * Huy chương Hughes (1937); * Thành viên của Viện Hàn lâm Khoa học Quốc gia Hoa Kỳ (1934); Giải Duddell (1940); {{Plain list|; }},,,,,,,,William Francis Gray Swann,"* A. Carl Helmholz (1940)<ref name=""MGP""> </ref>; * John Reginald Richardson (1937); * Milton S. Livingston (1931); * Ngô Kiện Hùng (1940)<ref name=""MGP""/>; * Robert R. Wilson (1940); <!-- Not in article; >; {{Plain list|; }}",,,Accelerator physics,,,,Phát minh máy cyclotron (1930),,,,,,,,,,,,,,,,Ernest O Lawrence signature.svg,,,,,,,,,,,,,,,* Đại học California; ** Phòng thí nghiệm Bức xạ; Berkeley (1928–1958),
Ertharin Cousin,https://vi.wikipedia.org/wiki/Ertharin_Cousin,Đại học Stanford,,,,,Chicago; Hoa Kỳ; Illinois,,,,,,,Chicago; }}; Đại học Illinois,,,Etharin Cousin.jpg,,,,Ertharin Cousin,,,Giám đốc điều hành Chương trình Lương thực Thế giới,Nông nghiệp của Liên hợp quốc; Đại sứ Hoa Kỳ tại Cơ quan Lương thực,,Dân chủ,Josette Sheeran,Gaddi Vasquez,,,,,,,,,David Beasley,David Lane,,,5 tháng 4 năm 2017,5 tháng 4 năm 2012,,,5 tháng 4 năm 2012,17 tháng 8 năm 2009,,,,,
Federico García Lorca,https://vi.wikipedia.org/wiki/Federico_Garc%C3%ADa_Lorca,Đại học Columbia,,,5 tháng 6 năm 1898,Federico García Lorca,Andalucía; Fuente Vaqueros; Granada; Vương quốc Tây Ban Nha,García Lorca; năm 1932,,19 tháng 8 năm 1936,Cộng hòa Tây Ban Nha; Granada; Gần Alfacar,,,,,,Federico García Lorca. Huerta de San Vicente; Granada.jpg,,,,Federico García Lorca,Cộng hòa Tây Ban Nha,Nhà soạn kịch; Nhà thơ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando J. Corbató,https://vi.wikipedia.org/wiki/Fernando_J._Corbat%C3%B3,Viện Công nghệ Massachusetts,California Institute of Technology; Massachusetts Institute of Technology,,,Fernando José Corbató,California; Hoa Kỳ; Oakland,,,,Massachusetts; Newburyport,John C. Slater<ref> </ref>,Jerome H. Saltzer,,Computer scientist,,Fernando Corbato.jpg,,,Multics,,American,,,,,,,,,,,Computer History Museum Fellow (2012)<ref>[http://www.computerhistory.org/fellowawards/hall/bios/Fernando; Corbato/ Fernando Corbato 2012 Fellow]  </ref>; Turing Award <small>(1990)</small>,,,,,,,,,,,,,,,,,Massachusetts Institute of Technology,,
Fife Symington,https://vi.wikipedia.org/wiki/Fife_Symington,Đại học Harvard,,,,John Fife Symington III,Mỹ; New York; Thành phố New York,,,,,,,Đại học Harvard (AB),,,Fife Symington by Gage Skidmore.jpg,,,,Fife Symington,,,Thống đốc Arizona thứ 19,,,Đảng Cộng hòa,Rose Mofford,,,,,,,,Fife Symington Signature.png,,Jane Dee Hull,,,,1997; 5 tháng 9,,,,1991; 6 tháng 3,,,,,,
Florence Siebert,https://vi.wikipedia.org/wiki/Florence_Siebert,Đại học Yale,Goucher College; Đại học Yale,,6.10.1897,,,,,23.8.1991,,,,,Hóa sinh,,Florence Barbara Seibert (1897-1991).jpg,150px,,tuberculin,,Mỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Pennsylvania,
Frances McDormand,https://vi.wikipedia.org/wiki/Frances_McDormand,Đại học Yale,,,,,,Frances McDormand năm 2015,,,,,,,,,Frances McDormand 2015 (cropped).jpg,,,,,,,,,,,,,,,,,,,,<small>(1984 tới nay)</small>; Joel Coen,,,,,,,,,,,,,,,
Francis Bitter,https://vi.wikipedia.org/wiki/Francis_Bitter,Đại học Columbia,Berlin; Columbia,,,,New Jersey; Weehawken,,,,,Albert Potter Wills,Jean Brossel; Robert C. Richardson,,Vật lý,,,,,Nam châm điện Bitter,Francis Bitter,Mỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caltech; MIT; Westinghouse,,
Francis Collins,https://vi.wikipedia.org/wiki/Francis_Collins,Đại học Yale,Trường Y; Đại học North Carolina (M. D.); Đại học Virginia (B. S.); Đại học Yale (Ph. D.),,,,Hoa Kỳ; Staunton; Virginia,,,,,,,,,,Francis Collins official portrait.jpg,,,,Francis Collins,,,Giám đốc Viện Y tế Quốc gia Hoa Kỳ,,,,Raynard Kington <small>(tạm quyền)</small>,,,,,,Công giáo La mã,,,Diane Baker,,,,,,,,,7 tháng 8 năm 2009,,,,,,
Francis Fukuyama,https://vi.wikipedia.org/wiki/Francis_Fukuyama,Đại học Harvard,,,,,Chicago; Hoa Kỳ; Illinois,Chân dung Fukuyama năm 2015,,,,,,,,,Francis Fukuyama 2015 (cropped).jpg,,,,,,,,,,,,,,,,,,,,Laura Holmgren,,,,,,,,,,,,,,,
Francis Peyton Rous,https://vi.wikipedia.org/wiki/Francis_Peyton_Rous,Đại học Johns Hopkins,,,5.10.1879,,Baltimore; Maryland,Francis Peyton Rous,,16.2.1970,Thành phố New York,,,,virus học,,Replace_this_image_male.svg,150px,,virus gây ung thư,Francis Peyton Rous,Mỹ,,,,,,,,,,,Y khoa (1966); giải Nobel Sinh lý,,,,,,,,,,,,,,,,,,,
Franklin E. Roach,https://vi.wikipedia.org/wiki/Franklin_E._Roach,Đại học Michigan,B.Sc. 1927; M.Sc. 1930; Trường Tiểu học Wheaton; Trường Trung học Wheaton; Trường Đại học Wheaton (Illinois); Yerkes/Chicago Ph.D. 1934; Đại học Chicago; Đại học Michigan; Đại học Tiểu bang Ohio,Huy chương Vàng của Bộ Thương mại 1961,"''BAAS''; <ref name=""BAAS1"">Obituary; Osterbrock; p. 1608.</ref>",,Jamestown; Michigan; Quận Ottawa,,(1930-1978); 1. John Raymond Roach; 2. Janet Loraine Roach (1936-); 3. Charlotte Louanne Roach (1937-); 4. Gerard Allyn Roach (1943-),"''BAAS''; <ref name=""BAAS3"">Obituary; Osterbrock; p. 1610.</ref>","Arizona<ref name=""BAAS3""/>; Tucson",,,,"""Thiên văn học kỹ thuật""; ''BAAS''; <ref name=""BAAS2"">Obituary; Khí học cao không; Osterbrock; Thiên văn học; UFO học; Vật lý thiên văn; p. 1609.</ref> Địa vật lý",,,,,"Sớm pha trắc quang quang điện; chứng minh cùng D.M. Hunten & J.W. Chamberlain về Đơn vị Rayleigh; khám phá với C.T. Elvey về ""Ánh sáng thiên hà khuếch tán""; nghiên cứu ""dạ huy"" (khí huy)",Franklin E. Roach,Mỹ,,,,,,,,,,,,,Mỹ,,(1976; (1993; 1. Eloise Blakslee; 2. Janet Gordon; Blakslee mất); Franklin Roach mất); Roach [1930-1976]; Roach [1977-1993],,,,,,,,,,,,,,A. O. Smith; CRPL (NBS Boulder); Cung thiên văn Honolulu; Cung thiên văn Morehead; Cục Dân sự Mỹ; Hawaii; NASA; NICAP; Phòng thí nghiệm Tây Bắc Battelle; Quận Manhattan; Trung tâm khoa học; Trường Đại học Wheaton (Illinois); Trạm Thí nghiệm Quân nhu Hải quân (NOTS); Trạm thiên văn Cactus Peak; Trạm thiên văn Fritz Peak; Trạm thiên văn Rattlesnake Peak; Viện Công nghệ California; Đài thiên văn McDonald; Đài thiên văn Perkins; Đài thiên văn Quốc gia Kitt Peak; Đài thiên văn Steward; Đài thiên văn Yerkes; Đại học Arizona; Đại học Bắc Carolina ở Chapel Hill; Đại học Rutgers; Đại học Tiểu bang Sul Ross; Ủy ban Condon,
Franklin Raines,https://vi.wikipedia.org/wiki/Franklin_Raines,Đại học Harvard,,,,Franklin Delano Raines,Mỹ; Seattle; Washington,,,,,,,Oxford; Trường Đại học Magdalen; Đại học Harvard,,,Franklin Raines July 2002.jpg,,,,Franklin Raines,,,Giám đốc Cục quản lý Hành chính; Ngân sách thứ 31,,,Dân chủ,Alice Rivlin,,,,Bill Clinton,,,,,,Jack Lew,,,,21 tháng 5 năm 1998,,,,13 tháng 4 năm 1996,,,,,,
François Duvalier,https://vi.wikipedia.org/wiki/Fran%C3%A7ois_Duvalier,Đại học Michigan,Đại học Haiti <small>(ngành y)</small>,,,,Port-au-Prince,François Duvalier,Marie‑Denise Duvalier; Nicole Duvalier; Simone Duvalier,,Haiti; Port-au-Prince,,,,,,PikiWiki Israel 136 papa doc haiti שליט האיטי פאפא דוק-cropd.jpg,,,,François Duvalier,,Bác sĩ,Tổng thống thứ 32 của Haiti,,Bộ trưởng Y tế,"National Unity <ref name=""Fatton 2013""> </ref><ref name=""Lacey 2008""> </ref>",</small>; Antonio Thrasybule Kébreau <small>(Chairman of the Military Council),,Antonio Vieux <small>(Public Health)</small>; Louis Bazin <small>(Labor)</small>,,,,Công giáo; Vodun,,,,Jean-Claude Duvalier,,Emile Saint-Lot <small>(Labor)</small>; Joseph Loubeau <small>(Public Health)</small>,,21 tháng 4 năm 1971,,10 tháng 5 năm 1950,14 tháng 10 năm 1949,22 tháng 10 năm 1957,,14 tháng 10 năm 1949,26 tháng 11 năm 1948,,,
Frederick Chapman Robbins,https://vi.wikipedia.org/wiki/Frederick_Chapman_Robbins,Đại học Harvard,Đại học Harvard; Đại học Missouri,,,,Alabama; Auburn,,,,Cleveland; Ohio,,,,Nhi khoa; Virus học,,,,,,Frederick Chapman Robbins,Mỹ,,,,,,,,,,,Giải Nobel Sinh lý; Y khoa (1954),,,,,,,,,,,,,,,,,Trường Y học Đại học Case Western Reserve,,
Frederick Converse,https://vi.wikipedia.org/wiki/Frederick_Converse,Đại học Harvard,,,5 tháng 1 năm 1871,,Massachusetts; Mỹ; Newton,,,,Massachusetts; Mỹ; Westwood,,,,Nhạc cổ điển,,CAB 1918 Converse Frederick Shepherd.jpg,220px,,,Frederick Converse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
