source_title,target_title
Mark Zuckerberg,Vanity Fair (magazine)
Mark Zuckerberg,Virus Ebola
Mark Zuckerberg,Vladimir Vladimirovich Putin
Mark Zuckerberg,Volodymyr Oleksandrovych Zelenskyy
Mark Zuckerberg,Vô thần
Mark Zuckerberg,Wayback Machine
Mark Zuckerberg,"White Plains, New York"
Mark Zuckerberg,Wikiquote
Mark Zuckerberg,Wired (magazine)
Mark Zuckerberg,Wirehog
Mark Zuckerberg,Áo
Mark Zuckerberg,Đô la Mỹ
Mark Zuckerberg,Đại dịch cúm 2009
Mark Zuckerberg,Đại học California
Mark Zuckerberg,Đại học Harvard
Mark Zuckerberg,Đại học Johns Hopkins
Mark Zuckerberg,Đạo Do Thái
Mark Zuckerberg,Đấu kiếm
Mark Zuckerberg,Đầu phiếu
Mark Zuckerberg,Đặc điểm của Facebook
Mark Zuckerberg,Đức
